Time	First	Second	Third	Fourth	Fifth	Sixth	Seventh
4114.29 89101162.72 7755101.20 2905327.17 1448764.02 827416.05 518607.70 340361.60
4128.57 98011278.99 7053842.05 2758052.52 1370452.45 764878.79 472475.44 311350.11
4142.86 53460697.63 7837602.28 3039213.21 1498796.41 838961.39 524184.13 345446.08
4157.14 71280930.18 6888839.90 2878549.96 1433536.77 857241.51 516579.91 339165.25
4171.43 106921395.27 7301345.28 2945492.98 1453114.67 813946.48 495288.10 324809.05
4185.71 80191046.45 7920103.35 2905327.17 1507497.70 840885.61 517086.86 334978.02
4200.00 71280930.18 8662613.04 3132933.45 1494445.77 845696.17 520635.49 344249.73
4214.29 53460697.63 6765088.28 2811606.94 1444413.38 844734.06 532295.29 352026.01
4228.57 80191046.45 6641336.67 2831689.84 1394380.99 812984.37 500864.52 329594.45
4242.86 115831511.54 6435083.97 2537140.55 1313894.10 763916.67 484135.24 326603.57
4257.14 80191046.45 6105079.67 2684415.20 1331296.67 761030.34 484642.19 318528.21
4271.43 169292209.17 6888839.90 2791524.03 1363926.49 782196.80 483628.30 323313.61
4285.71 71280930.18 6971340.97 2905327.17 1440062.74 830302.38 515059.07 342754.30
4300.00 80191046.45 6270081.82 2610777.87 1294316.21 748522.89 466899.01 308658.32
4314.29 89101162.72 7796351.74 2925410.08 1350874.56 782196.80 488697.77 326603.57
4328.57 62370813.91 5898826.98 2617472.17 1329121.35 763916.67 476531.03 319425.47
4342.86 71280930.18 6847589.36 2563917.76 1300842.17 762954.56 482107.45 323911.78
4357.14 62370813.91 6600086.13 2577306.36 1303017.49 749485.00 460308.69 308060.14
4371.43 44550581.36 5940077.51 2483586.13 1268212.35 733129.10 459294.80 308060.14
4385.71 133651744.08 6888839.90 2450114.62 1237757.85 719659.54 457773.95 303872.92
4400.00 133651744.08 7796351.74 2711192.40 1322595.38 764878.79 469940.70 314041.89
4414.29 115831511.54 6476334.51 2550529.15 1231231.89 719659.54 456253.11 313144.63
4428.57 89101162.72 7012591.51 2450114.62 1213829.32 701379.42 445100.26 301480.22
4442.86 80191046.45 7136343.13 2483586.13 1255160.42 725432.21 447128.05 297592.08
4457.14 151471976.63 6806338.82 2376477.29 1152920.32 685023.52 419752.86 285628.58
4471.43 62370813.91 6352582.90 2336311.48 1111589.21 664819.17 419752.86 284133.14
4485.71 98011278.99 6228831.28 2242591.25 1157270.96 673478.18 422287.60 286226.76
